Compania,Articulo,Descripcion,UdVta,ClaveAcceso,CostoEstandar
225,030019610,CVT79OK-2 CAJA CORRUGADA,MIL,000954          ,6.2042
225,03008671,CH-3,MIL,207             ,3.3266
225,03008674,PEDESTAL BAJO GB,MIL,207             ,17.9672
225,03008786,CHAROLA,MIL,524             ,15.095
225,030113900,BANCO SECADO ASPERSIÓN,MIL,231             ,1.2336
225,030114865,BASE C-230,MIL,011006          ,10.7831
225,03018945,TAPA INF.LIB-ESPA.,MIL,207             ,6.5791
225,040012169,DISPOSITIVO "B",MIL,207             ,4.1963
225,040017483,SL135,MIL,871             ,0.9589
225,040019398,K567,MIL,871             ,3.3994
225,040115976,20026367 SEP,MIL,115022          ,2.9202
225,050018244,7I8N-1,MIL,871             ,3.5224
225,050019753,7IMF CHAROLA DOBLE PARED,MIL,871             ,3.897
225,050019842,12U1-1 CAJA MED REGULAR,MIL,000954          ,4.0606
225,05006698,5797-3,MIL,905             ,3.041
225,050110334,CORRUGADO TABLA 2 BASE,MIL,162             ,8.8046
225,050314620,DIV. CORTA 20025806,MIL,115022          ,0.3767
225,060017790,132C,MIL,871             ,2.3304
225,060019478,12ZA CAJA MED. REG. CORRUGADA,MIL,000954          ,3.5025
225,060019636,13U7 CHAROLA CORRUGADA,MIL,000954          ,3.5009
225,110015062,5/500051,MIL,778             ,14.0044
225,110019263,MODELO. 5 M4+7,MIL,207             ,52.4931
225,160015787,20008590 CA. GRANEL SIN AGUJER,MIL,008034          ,13.0734
225,190013900,CAJA P/PRODUC.SECADO ASPERSIÓN,MIL,231             ,23.1005
225,190019291,SCMX-C-20LN (NVO DISEÑO),MIL,231             ,29.5473
225,19008449,CAJA DE CARTÓN PARA 500 KGS.,MIL,199             ,77.6871
225,220012037,CAJA # 2,MIL,001077          ,11.6312
225,220017763,91100033,MIL,001039          ,2.8242
225,24000019,CAJA CARTON SP-1L (1212023),MIL,44              ,9.1309
225,250018799,CVT7IA7,MIL,000954          ,6.86619999999999
225,250019677,CVT7I96 CAJA CORRUGADA SUAJE E,MIL,000954          ,4.9418
225,250019952,CVT7IZ8 CAJA BRUM CIRC,MIL,871             ,5.1173
225,BD420017424,N0022407021 MAJESTIC N°7,MIL,006019          ,15.8622
225,BD420018967,N0023207021 ASPEN No. 7,MIL,006019          ,50.7427
225,BD420019540,CA-EX SIN IMPRESIÓN,MIL,012001          ,54.0184999999999
225,BS230019916,A-40 SIN TEXTOS,MIL,001032          ,3.7215
225,BS260015249,UNICA,MIL,833             ,5.62149999999999
225,BS260018696,SATURNO 4,MIL,708             ,6.9226
225,BS260019493,ALCATRAZ # 4,MIL,708             ,3.9397
225,BS260020641,CHAROLA CALAHUA CREMA DE COCO,MIL,115128          ,2.4907
225,BS260020667,CHAROLA CALAHUA CREMA DE COCO,MIL,115128          ,1.3865
225,BS260020762,CAJA 2 PORRONES,MIL,000991          ,3.7179
225,BS260020819,CAJA 6 BOTELLAS,MIL,000991          ,5.5833
225,BS290015210,CARTEK 6 BOTELLAS 5891,MIL,003020          ,3.8766
225,BS290017485,N0022205511 PINO MONARCA N°5.5,MIL,006019          ,9.692
225,BS290018277,N0022105011 BOSTON N0. 5,MIL,006019          ,6.0199
225,BS290019526,CAJA No. 1,MIL,308             ,6.8312
225,BS290019724,N0099200014 LISTONES RIBOCEL,MIL,006019          ,6.2669
225,BS320016588,CAJA CARTÓN GH-2,MIL,44              ,7.3243
225,BS320017185,PRECISSIMO JUMBO,MIL,0013002         ,7.062
225,BS320018264,140250 UNIKNRP 2255,MIL,001021          ,4.8225
225,BS320018789,67429389 UNIDOJL 5088,MIL,001021          ,9.3319
225,BS320019133,CAJA CARTON CAMPBELL´S 12 PAQ.,MIL,44              ,2.8574
225,BS320019497,67693394 UNIHERP2176,MIL,001021          ,2.15539999999999
225,BS320020027,DDP DOSIFICADOR MIX,MIL,44              ,11.3311
225,BS320020253,CAJA MEDIO JAMON,MIL,000991          ,16.8548
225,BS320020285,LAMINA 75X84 UNISEJL5090B,MIL,001021          ,6.3401
225,BS320021016,68383384-11 UNIDOMP 7220,MIL,001021          ,5.3865
225,BS320021104,11407 VALVOLINE,MIL,003020          ,6.61309999999999
225,BS320119279,INSERTO CHAROLA DOVE JAB SHEA,MIL,001021          ,1.7204
225,BS320119840,60400313788 TAPA,MIL,115041          ,4.3942
225,BS320119895,60400313787 TAPA BOMBA,MIL,115041          ,4.3942
225,BS360017477,1210029 24 SOBRES SOPA EN SOBR,MIL,44              ,4.3354
225,BS360018925,67485369 UNIDOJL4922-B,MIL,001021          ,6.934
225,BS360020103,LAMINA 90X111 DAVSJEL6366F,MIL,001021          ,11.2855
225,BS360020458,68133762 UNIREJL5330,MIL,001021          ,5.0813
225,BS360020626,LAMINA 108X68,MIL,001021          ,8.3014
225,BS360020845,VENTURA 4 GALONES,MIL,115029          ,8.3943
225,BS400013282,6082 6 GALONES HELLA,MIL,003020          ,11.5153
225,BS400018294,960954 UNIMAJL 3109,MIL,001021          ,4.702
225,BS400019802,CHA. 01 SPAGUETTI 450g,MIL,44              ,7.8909
225,BS400020597,68267027 UNIDOMP7015,MIL,001021          ,9.8919
225,BS400020995,68491987-11 UNICHJL 7709,MIL,001021          ,14.856
225,BS440019654,MEZCAL 750ML 6 BOTELLAS (2),MIL,734             ,5.3368
225,BS610017851,HIGOS,MIL,115117          ,3.0217
225,BS710017180,TAPA MEXICAN QUEEN,MIL,000982          ,10.7695
225,KD420015267,F-50,MIL,821             ,9.3148
225,KD420015321,C1,MIL,821             ,12.574
225,KD420015350,TUBO 20,MIL,920             ,33.5229
225,KD420017468,F-61,MIL,821             ,33.2335
225,KD420017565,200188 UNIVERSAL GRANEL 25KG,MIL,606             ,9.3769
225,KD420017855,12 FRASCOS 1L,MIL,001015          ,11.0482
225,KD420019482,CHICA,MIL,115071          ,2.6547
225,KD420019670,60400215220,MIL,115041          ,9.9263
225,KD420019769,1662479,MIL,262             ,11.6832
225,KD420020732,EMCC0027 CAJA 5 JUMBO,MIL,115130          ,25.7246
225,KD420020870,87055493 CAJA COL. CREMA LEO P,MIL,006047          ,12.2798
225,KD42005259,LAMINA CARTON,MIL,44              ,14.6253
225,KD420116894,028642 DIV. LARGA,MIL,781             ,1.7582
225,KD420216894,028642 DIV. CORTA,MIL,781             ,1.6964
225,KD480016599,S10100032E17 TZ-1,MIL,696             ,24.823
225,KD480018553,CLAP (S15100212E17),MIL,696             ,12.6881
225,KD480019475,S15100232E17 LV MOREA,MIL,696             ,12.0756
225,KD480019492,S14200152E17 CAJA MG MOJAVE,MIL,696             ,18.6041
225,KD480020190,GELITA 12 kg,MIL,218             ,10.4096999999999
225,KD480020333,86565226 CAJA COL. JER/OVU BR,MIL,006047          ,9.6012
225,KD480020499,85928821 CAJA CORRUGADA No 3,MIL,006047          ,12.6701
225,KD480020645,CAJA 20 EXPORTACION DC,MIL,010014          ,6.8608
225,KD480020767,S14200162E17 MG GOBI GDE (MUES,MIL,696             ,24.6202
225,KD480021061,GRANDE,MIL,115037          ,10.0006
225,KD510015960,IM001814,MIL,298             ,8.122
225,KD510019147,No. 55,MIL,001053          ,49.4915
225,KD820020997,3016517 GENERICA 10,MIL,115145          ,21.5632
225,KS230015593,TAPA 25-29,MIL,872             ,3.4127
225,KS230016164,CHAROLA,MIL,792             ,13.1756999999999
225,KS230016782,CMBM,MIL,CMBM            ,4.7844
225,KS230016934,HL-CH,MIL,013002          ,4.0173
225,KS230018183,BBI-3,MIL,013002          ,4.9171
225,KS230018569,E9030145,MIL,115019          ,4.0829
225,KS230018619,90004 COLECTIVA A-3,MIL,001032          ,9.8904
225,KS230018650,70509023 CORR REPLENS 6/35G,MIL,778             ,1.4761
225,KS230018729,1515265,MIL,262             ,6.0828
225,KS230018845,1662474,MIL,262             ,4.6038
225,KS230018876,C-C900 67467719 ESPUMA,MIL,138             ,2.3162
225,KS230019019,FRUTA DESHIDRATADA GDE,MIL,800             ,4.6609
225,KS230019111,1852691,MIL,262             ,2.7437
225,KS230019170,70509175 CORR.BS CARTON SHEET,MIL,778             ,6.8347
225,KS230019374,1653262,MIL,262             ,3.6938
225,KS230019682,ROLL ON HELEN 50G,MIL,876             ,1.5057
225,KS230019758,C-C013 SNSHINEG3,MIL,138             ,2.4281
225,KS230019792,ME093,MIL,115068          ,2.5664
225,KS230020192,30X30X10,MIL,001053          ,4.0459
225,KS230020260,CAJA PARA PAPA INTENSA 100 GRS,MIL,115106          ,11.1208
225,KS230020374,CHICOLASTIC/BBTIPS,MIL,115090          ,7.0716
225,KS230020415,CIRCULO,MIL,115114          ,3.0624
225,KS230020654,ME-0035,MIL,115098          ,4.2352
225,KS230020840,2633344 PERT CC 12-100 ml,MIL,262             ,1.5424
225,KS230021008,111512,MIL,836             ,2.3489
225,KS230021055,CAJA ESPONJA EVA,MIL,115042          ,2.8632
225,KS230119858,DIV. CORTA CABLE E-1438,MIL,115095          ,0.4899
225,KS230120818,DIV. CAJA 3 VINOS,MIL,000991          ,0.9993
225,KS260015972,75KS,MIL,871             ,5.6308
225,KS260016562,13D5,MIL,000954          ,4.9378
225,KS260017187,46145881 CJ. COL. N°255,MIL,544             ,4.202
225,KS260018241,13NS,MIL,000954          ,6.0876
225,KS260018318,77UG,MIL,871             ,3.9472
225,KS260018629,CAJA No. 3,MIL,853             ,6.90989999999999
225,KS260018641,L040,MIL,271             ,7.85629999999999
225,KS260018698,13QH,MIL,000954          ,6.6233
225,KS260018804,13Q1,MIL,000954          ,7.6613
225,KS260018960,5201123-11-70R5,MIL,871             ,6.41639999999999
225,KS260019152,7A8Z,MIL,871             ,5.2326
225,KS260019314,91615490 SHIP OB F 25 M SP X 1,MIL,001039          ,6.9069
225,KS260019371,23084167 WICH EDT,MIL,536             ,3.4435
225,KS260019574,CENTRO,MIL,000991          ,5.73799999999999
225,KS260019748,13UE CAJA MED. REGULAR,MIL,000954          ,2.9294
225,KS260020046,5305011-11-701 CAJA REG SIN IM,MIL,871             ,6.5611
225,KS260020092,05-01-006 E-257,MIL,000990          ,11.3916
225,KS260020337,ME181,MIL,115068          ,2.146
225,KS260020820,EM251 DISPLAY 1 KG.,MIL,115031          ,7.8088
225,KS260020839,CAJA 08,MIL,271             ,1.9358
225,KS260021036,4304 CORR CANELITAS 32/180ND,MIL,002004          ,4.4345
225,KS290014650,DMOX-5,MIL,44              ,4.072
225,KS290015868,CVT7DM9,MIL,871             ,3.1288
225,KS290016008,IM001791,MIL,298             ,3.6423
225,KS290016139,1321026-11-9132,MIL,871             ,3.7959
225,KS290016382,CVT7C2D,MIL,871             ,2.5545
225,KS290016969,N°1,MIL,44              ,2.6544
225,KS290017401,0508033-11-3899,MIL,871             ,5.7752
225,KS290017764,200333,MIL,606             ,4.3195
225,KS290017817,200114 UNTARELLA 10 PZ,MIL,606             ,3.4619
225,KS290018211,70508932,MIL,115009          ,2.2543
225,KS290018430,CMBG 24 NVO,MIL,013002          ,5.322
225,KS290018533,CAJA 3,MIL,013002          ,10.661
225,KS290018658,91313547 SHIPPER OB 3X12CT 70m,MIL,001039          ,4.5217
225,KS290018818,10150,MIL,576             ,14.8046
225,KS290019079,7029 LTH,MIL,003020          ,9.6576
225,KS290019239,8957038-11-8953,MIL,000954          ,4.6382
225,KS290019307,1659748,MIL,262             ,7.0904
225,KS290019407,S12100052E17 VALVULA,MIL,696             ,3.8285
225,KS290019433,67643368 UNIREAR 4813,MIL,001021          ,2.1626
225,KS290019459,CAJA TAPA,MIL,115087          ,9.0342
225,KS290019541,CAJA MOLDEADA 67643479 UNIREMP,MIL,001021          ,2.698
225,KS290019545,NIPLE SAVE PK 93027676,MIL,714             ,1.8236
225,KS290019570,TAPA CARTA BBVA,MIL,472             ,3.7469
225,KS290019634,12 BOTELLAS DE SHAMPOO,MIL,115083          ,3.1037
225,KS290019814,200174 Adresso 10 pz,MIL,606             ,3.6421
225,KS290019829,CVT7IHM CAJA CORRUGADA IMP,MIL,000954          ,2.7758
225,KS290019944,ME 00125,MIL,115056          ,5.3877
225,KS290020216,86517353 CC GENERICO 33,MIL,006047          ,8.2214
225,KS290020239,86564890 CC GENERICO 35,MIL,006047          ,7.8385
225,KS290020282,200111 6X200,MIL,606             ,5.2943
225,KS290020315,CORR.P/LAM VEC DHB 10065,MIL,115020          ,2.907
225,KS290020338,EMEE-20019499 CORR ORANGE GLO,MIL,778             ,2.8858
225,KS290020491,LTH 7032,MIL,003020          ,3.90979999999999
225,KS290020525,CAJA 06,MIL,115104          ,3.5749
225,KS290020737,CORRUGADO No. 7,MIL,006047          ,4.5361
225,KS290020765,200430 CORR. CREMA ABUELITA 40,MIL,606             ,4.2758
225,KS290020887,86030748 CORR GENERICO 28 V2,MIL,006047          ,4.8613
225,KS290020933,16 BOTELLAS,MIL,115115          ,4.7144
225,KS290020970,CAJA No. 38,MIL,115141          ,3.9823
225,KS290021024,57878863 CAJA CORRUGADA No 94,MIL,006047          ,3.7746
225,KS320015094,PAD-9995009,MIL,244             ,1.7541
225,KS320015103,CAJ-9995010 14X14X36,MIL,244             ,16.1257
225,KS320015106,CAJ-9995030 18 1/2X14X12,MIL,244             ,9.7891
225,KS320015258,N°3,MIL,835             ,4.5852
225,KS320015488,C-C807 MO RP 02,MIL,138             ,3.2793
225,KS320015644,IM001712 BB  DEVELOPER 4 OZ 42,MIL,298             ,4.0775
225,KS320015674,61100040006,MIL,864             ,17.4457
225,KS320015805,IM001772,MIL,298             ,4.9186
225,KS320015915,12JJ,MIL,871             ,6.49029999999999
225,KS320016308,AIRHEAD BITES 9oz 20026461,MIL,8034            ,3.7856
225,KS320016521,CAJA CARTON 1210376 DE Luigi 4,MIL,44              ,7.7067
225,KS320016796,20502650 5.4 OZ/150ml CREMA NA,MIL,778             ,2.1598
225,KS320017189,13C9,MIL,871             ,6.7847
225,KS320017301,7GZC,MIL,871             ,5.063
225,KS320017369,C-C587 HS SSEXT,MIL,138             ,3.2234
225,KS320017511,PASTA CABELLO DE ANGEL,MIL,000996          ,4.2851
225,KS320017522,12Z6,MIL,871             ,3.3022
225,KS320017677,13CG,MIL,871             ,6.6533
225,KS320017691,13I7,MIL,871             ,6.241
225,KS320017779,POTENCO 9682,MIL,003020          ,5.1957
225,KS320017928,LTH 8535,MIL,003020          ,6.33179999999999
225,KS320018136,13N0,MIL,871             ,5.8009
225,KS320018162,204000600 SEPARADOR,MIL,824             ,1.5992
225,KS320018212,133N,MIL,871             ,6.0499
225,KS320018248,67261455 UNIREAR 5095,MIL,001021          ,2.7747
225,KS320018384,FRAM 8622,MIL,003020          ,6.6135
225,KS320018417,7DUZ,MIL,871             ,4.3969
225,KS320018592,13OW,MIL,871             ,5.0735
225,KS320018612,CAJA CARTON 22 S/I,MIL,44              ,5.5432
225,KS320018667,IM002327,MIL,298             ,3.58149999999999
225,KS320018672,IM002314,MIL,298             ,1.8554
225,KS320018691,23127273 RSC-GENERIC,MIL,536             ,3.75
225,KS320018702,67433828 UNIDOBR 5435,MIL,001021          ,2.2492
225,KS320018751,13PF,MIL,871             ,4.7546
225,KS320018756,GERBERA BASE,MIL,162             ,7.96669999999999
225,KS320018842,23125603 RSC-MX UPSCALE,MIL,115034          ,4.221
225,KS320018894,RALOY 9167,MIL,003020          ,4.7269
225,KS320018949,210556 99030024491,MIL,540             ,2.9385
225,KS320018955,211589 99030049324,MIL,540             ,2.4786
225,KS320019013,67521995 UNIKNJO5726-B,MIL,001021          ,3.7468
225,KS320019035,85164287 AS ORIGINAL 36 TAB EF,MIL,006047          ,5.2291
225,KS320019048,13M4 (13M8),MIL,871             ,5.8009
225,KS320019065,REPSOL 8911,MIL,003020          ,6.1426
225,KS320019071,7EFC,MIL,871             ,5.6819
225,KS320019177,200371,MIL,606             ,2.7061
225,KS320019180,SUSPIROS,MIL,115045          ,4.7042
225,KS320019238,77I1,MIL,000954          ,2.713
225,KS320019354,210554 NA0D9041032,MIL,540             ,3.5927
225,KS320019404,13R8,MIL,871             ,4.5644
225,KS320019425,67659756 UNIPOBR6256,MIL,001021          ,6.0375
225,KS320019514,CAJA CARTÓN 1240151 STARS 7.0,MIL,002012          ,2.9089
225,KS320019536,K58Z CAJA CORRUGADA,MIL,871             ,8.03719999999999
225,KS320019547,EMBALAJE EXTERIOR 93027667,MIL,714             ,7.9148
225,KS320019601,60400214733,MIL,115041          ,6.6756
225,KS320019763,CT10,MIL,115092          ,10.8303
225,KS320019827,7HAR CAJA CORRUGADA,MIL,871             ,4.8367
225,KS320019834,13SE CAJA CORRUGADA,MIL,871             ,5.1663
225,KS320019853,13OP CAJA CORRUGADA CON IMPRE,MIL,871             ,5.6012
225,KS320019860,ITALIANO COSIDO,MIL,115039          ,2.9449
225,KS320019887,TSL001-1  CHAR PEG LATERAL,MIL,871             ,1.8952
225,KS320019907,TSL002-1 CHAROLA PEG LATERAL,MIL,871             ,2.508
225,KS320019954,2055469/2055106 MJNXXFV 6852,MIL,001021          ,7.6163
225,KS320019962,C-C807-15SAS09-2,MIL,138             ,2.9458
225,KS320019991,BOBINA TAPA 300109828,MIL,459             ,8.0937
225,KS320019997,CO660 SVETIA ABLEND 6 PZS.,MIL,570             ,3.6952
225,KS320020122,67946651 UNIAXJO5332,MIL,001021          ,3.5744
225,KS320020123,67946654 UNIAXJL6531,MIL,001021          ,3.0834
225,KS320020172,67932713 UNIDOMP 6779-B,MIL,001021          ,4.263
225,KS320020200,LAMINA 69X66 JDVADJL6728,MIL,001021          ,4.0569
225,KS320020244,LAMINA 89X73 UNISEJL1263,MIL,001021          ,5.7879
225,KS320020267,81562717,MIL,115142          ,3.0461
225,KS320020287,67757334 UNIAR JL 6458,MIL,001021          ,1.795
225,KS320020295,68123292 UNIAXJL 7131,MIL,001021          ,2.5828
225,KS320020365,RALOY 10714,MIL,003020          ,5.4788
225,KS320020386,85918982,MIL,115142          ,4.5594
225,KS320020457,C-C807-15RPP10-2,MIL,138             ,3.3461
225,KS320020493,IM002558,MIL,298             ,4.4007
225,KS320020524,CAJA 03,MIL,115104          ,10.0417
225,KS320020542,68267075 UNIAREL 7416,MIL,001021          ,8.0933
225,KS320020546,68245791-68245793 UNIAXJL6532,MIL,001021          ,4.2583
225,KS320020554,IM002573,MIL,298             ,3.8802
225,KS320020587,CHSL0005 CHAROLA SELLADO LATER,MIL,871             ,1.7389
225,KS320020665,81658919 SEPARADOR CORR. AS PL,MIL,006047          ,1.8922
225,KS320020683,7J06 CAJA CORRUGADA SIN IMPRES,MIL,871             ,6.5021
225,KS320020781,CHICA,MIL,115123          ,4.3782
225,KS320020855,2645332,MIL,262             ,8.8999
225,KS320020937,CHSL0011 CHAROLA SELLADA LATER,MIL,871             ,2.3083
225,KS320021051,LAMINA 120X170,MIL,001021          ,18.151
225,KS32007841,C-1/RG-N,MIL,44              ,2.4697
225,KS320217885,DIV. CORTA 20011584,MIL,115022          ,0.5257
225,KS360013370,No. 31/2 LM 220g,MIL,44              ,3.3528
225,KS360015945,VIT-1 ALLEGRA C.LATERAL,MIL,002012          ,3.2292
225,KS360017371,CAJA CARTON N° 4 E MACARONI,MIL,44              ,3.5698
225,KS360017712,CAJA CARTON N° 1/RG,MIL,44              ,2.5388
225,KS360018007,99X55 11-R0174,MIL,001021          ,4.754
225,KS360018205,94X60 UNISEJL4382,MIL,001021          ,4.9823
225,KS360018785,67366145 UNIICL5416B,MIL,001021          ,3.8322
225,KS360019327,2047419/2045742 MJNCTJO5459,MIL,001021          ,5.5366
225,KS360019494,PROMOCIÓN PASTA + SALSA,MIL,44              ,6.7061
225,KS360019960,SP-2 SOPA EN SOBRE,MIL,44              ,7.6533
225,KS360020008,LAMINA 100X110 UNIKNJL 5656,MIL,001021          ,10.0928
225,KS360020012,P/10685 UNIREJL 6546B,MIL,001021          ,11.4607999999999
225,KS360020155,LAMINA 61X100 DAVSJBR6686,MIL,001021          ,5.586
225,KS360020304,CJA. DE 10 KG TERR. 300135210,MIL,115020          ,4.6724
225,KS360020309,CORR J FLEX 5LT 300135221,MIL,115020          ,4.0344
225,KS360020311,CJA ACUMIX 300125222,MIL,115020          ,3.9803
225,KS360020370,68140502 UNIKNJL 6941-B/UNIKNM,MIL,001021          ,12.8318
225,KS360020550,CO004 AZUCAR GLASS,MIL,570             ,5.2983
225,KS360020590,No. 2 (1240002),MIL,44              ,3.1259
225,KS360020674,LAMINA 134X60,MIL,001021          ,7.3789
225,KS360020747,LAMINA 52X120,MIL,001021          ,5.7117
225,KS360020873,58046497,MIL,006047          ,7.8453
225,KS360020940,SCJ-ME-CORR DAVSJJL7818,MIL,001021          ,7.135
225,KS360320797,CAJA ESTIBABLE 4X5 (JUEGOS),MIL,115020          ,9.776
225,KS400016316,TANK CAR BLANKET TAPA,MIL,11006           ,20.6425
225,KS400017003,CAJA CARTON W9,MIL,44              ,4.6644
225,KS400017742,HELLA 6276,MIL,003020          ,8.8535
225,KS400018766,67197178UNIDOJL 5603,MIL,001021          ,2.5368
225,KS400018783,LTH7036,MIL,003020          ,7.35429999999999
225,KS400018968,CAJA CARTÓN 1229015 KIDS 200 g,MIL,44              ,4.2761
225,KS400019236,MJ0896,MIL,886             ,3.5381
225,KS400019685,CAJA CARTÓN FIDEO 0 MF12 220,MIL,44              ,5.2918
225,KS400019686,CAJA CARTÓN CODO 4 MF6 220,MIL,44              ,5.7257
225,KS400019695,CAJA CARTÓN CODO 2 MF4 220,MIL,44              ,5.3099
225,KS400019705,CAJA CARTÓN PLUMA MF19 220,MIL,44              ,5.6738
225,KS400019824,CAJA KFT 40X40X155CM MA KOENA,MIL,115058          ,27.6663
225,KS400019849,RALOY 10277,MIL,003020          ,6.4835
225,KS400020349,033504 CAJA PRINCIPE (12) 4,53,MIL,115103          ,6.12299999999999
225,KS400020566,CORRUGADO 4 BOLSAS,MIL,115118          ,4.8118
225,KS400020852,RALOY 11187,MIL,003020          ,9.2917
225,KS400020856,RALOY 11058,MIL,003020          ,6.478
225,KS400020957,9888 MOPAR,MIL,003020          ,7.5705
225,KS400021033,CAJA 4223 MARIANITAS,MIL,002004          ,4.7965
225,KS440019630,SW-24 FLAUTA HORIZONTAL,MIL,011006          ,22.0276
225,KS440019959,Co1005307,MIL,115078          ,17.2866
225,KS440020372,LECHUGA OREJONA,MIL,115110          ,13.6264
225,KS440020836,CAJA KIT PRATSA,MIL,836             ,18.8847
225,KS510016967,ACUABOX 74,MIL,000955          ,15.7900999999999
225,KS510018320,CAJA N°1 250G LM,MIL,44              ,4.4513
225,KS510019596,ACUA 65cm,MIL,162             ,16.6090999999999
225,KS550019734,CHARLY,MIL,878             ,16.2423
225,KS710016596,70506242 AHLLD FRSH 4/4.65L +,MIL,778             ,13.0373
225,KS710018665,70509056 DIVISOR LARGO OXI 3L,MIL,778             ,4.6184
225,KS710115907,70504235,MIL,778             ,4.5711
225,L010015716,LAMINA 61200029001,PZA,864             ,6.6476
225,L010016256,LAMINA E14-0037-3,PZA,394             ,1.4513
225,L010017082,LAMINA 2070164 1-2-3 MIXTA 20P,PZA,886             ,2.3315
225,L010018257,LAMINA Z-3001115 DIV. LARGA,PZA,011006          ,3.46439999999999
225,L010018807,LAMINA CLAMSHELL 1 LIBRA,PZA,906             ,11.5657
225,L010019140,LAMINA MPNEMCL0087 CLAM 1 LB V,PZA,906             ,13.0681
225,L010020628,LAMINA 120.0 X 100.0,PZA,807             ,6.95589999999999
225,L010021099,LAMINA ARCA TIERRA II,PZA,115151          ,5.0658
225,L010115814,LAMINA 61500003001,PZA,864             ,3.7689
225,L010120433,LAMINA DIVISION LARGA,PZA,115087          ,3.47619999999999
225,L010218450,LAM DIV.CORTO 6 BOTELLAS DE 32,PZA,115017          ,2.0109
225,L020013970,LAMINA 48/120 KURAX,PZA,727             ,2.5045
225,L020014422,LAMINA BANDA ARCHIVO CARTA,PZA,472             ,4.11379999999999
225,L020015575,LAMINA CAJA N°5,PZA,868             ,7.8167
225,L020016402,LAMINA 96/25 ml,PZA,727             ,1.60469999999999
225,L020017412,LAMINA 3225,PZA,871             ,4.0692
225,L020018051,LAMINA C-C320 BRUT ECO1,PZA,138             ,1.03339999999999
225,L020018363,LAMINA 3102,PZA,871             ,4.1308
225,L020019859,LAMINA 3033,PZA,000954          ,8.1927
225,L020020351,LAMINA 3146,PZA,871             ,3.4231
225,L030013804,LAMINA CHICA A,PZA,641             ,2.7424
225,L030015989,LAMINA PD1679 CUADRADO,PZA,871             ,1.86209999999999
225,L030016014,LAMINA 96845647,PZA,001039          ,3.0233
